127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/moment/min/moment.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/build/js/custom.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/static/theme/vendors/bootstrap-daterangepicker/daterangepicker.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 12:02:40, GET, /Chekailo/default/user/images/favicon.ico, HTTP/1.1, 404, 0.068000
127.0.0.1, 2018-04-16 12:02:50, POST, /Chekailo/default/user/login, HTTP/1.1, 303, 0.069000
127.0.0.1, 2018-04-16 12:02:50, GET, /Chekailo/default/user/login, HTTP/1.1, 200, 0.072000
127.0.0.1, 2018-04-16 12:02:52, POST, /Chekailo/default/user/login, HTTP/1.1, 303, 0.118000
127.0.0.1, 2018-04-16 12:02:52, GET, /Chekailo/default/index, HTTP/1.1, 200, 0.071000
127.0.0.1, 2018-04-16 12:02:53, GET, /Chekailo/default/images/favicon.ico, HTTP/1.1, 404, 0.087000
127.0.0.1, 2018-04-16 12:02:56, GET, /Chekailo/default/checkup_manage, HTTP/1.1, 200, 0.101000
127.0.0.1, 2018-04-16 12:02:56, GET, /Chekailo/static/theme/vendors/jQuery-Smart-Wizard/js/jquery.smartWizard.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-16 12:02:56, GET, /Chekailo/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-04-16 12:02:56, GET, /Chekailo/static/images/facebook.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-04-16 12:02:56, GET, /Chekailo/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-04-16 12:02:58, GET, /Chekailo/default/index, HTTP/1.1, 200, 0.069000
127.0.0.1, 2018-04-16 12:03:02, GET, /Chekailo/default/user/logout, HTTP/1.1, 303, 0.070000
127.0.0.1, 2018-04-16 12:03:02, GET, /Chekailo/default/index, HTTP/1.1, 303, 0.050000
127.0.0.1, 2018-04-16 12:03:02, GET, /Chekailo/default/user/login, HTTP/1.1, 200, 0.067000
